doctype,fieldname,fieldtype,part,source
Sales Invoice,customer_section,Section Break,option,fa fa-user
Sales Invoice,title,Data,label,Title
Sales Invoice,naming_series,Select,label,Series
Sales Invoice,naming_series,Select,option,فاکتور-فروش-.YYYY.-#####
Sales Invoice,naming_series,Select,option,ACC-SINV-.YYYY.-
Sales Invoice,naming_series,Select,option,ACC-SINV-RET-.YYYY.-
Sales Invoice,customer,Link,label,Customer
Sales Invoice,customer_name,Small Text,label,Customer Name
Sales Invoice,tax_id,Data,label,Tax Id
Sales Invoice,company,Link,label,Company
Sales Invoice,company_tax_id,Data,label,Company Tax ID
Sales Invoice,posting_date,Date,label,Date
Sales Invoice,posting_time,Time,label,Posting Time
Sales Invoice,set_posting_time,Check,label,Edit Posting Date and Time
Sales Invoice,due_date,Date,label,Payment Due Date
Sales Invoice,is_pos,Check,label,Include Payment (POS)
Sales Invoice,pos_profile,Link,label,POS Profile
Sales Invoice,is_consolidated,Check,label,Is Consolidated
Sales Invoice,is_return,Check,label,Is Return (Credit Note)
Sales Invoice,return_against,Link,label,Return Against
Sales Invoice,update_outstanding_for_self,Check,label,Update Outstanding for Self
Sales Invoice,update_outstanding_for_self,Check,description,"Credit Note will update it's own outstanding amount, even if 'Return Against' is specified."
Sales Invoice,update_billed_amount_in_sales_order,Check,label,Update Billed Amount in Sales Order
Sales Invoice,update_billed_amount_in_delivery_note,Check,label,Update Billed Amount in Delivery Note
Sales Invoice,is_debit_note,Check,label,Is Rate Adjustment Entry (Debit Note)
Sales Invoice,is_debit_note,Check,description,Issue a debit note with 0 qty against an existing Sales Invoice
Sales Invoice,amended_from,Link,label,Amended From
Sales Invoice,accounting_dimensions_section,Section Break,label,Accounting Dimensions
Sales Invoice,cost_center,Link,label,Cost Center
Sales Invoice,project,Link,label,Project
Sales Invoice,currency_and_price_list,Section Break,label,Currency and Price List
Sales Invoice,currency,Link,label,Currency
Sales Invoice,conversion_rate,Float,label,Exchange Rate
Sales Invoice,conversion_rate,Float,description,Rate at which Customer Currency is converted to customer's base currency
Sales Invoice,selling_price_list,Link,label,Price List
Sales Invoice,price_list_currency,Link,label,Price List Currency
Sales Invoice,plc_conversion_rate,Float,label,Price List Exchange Rate
Sales Invoice,plc_conversion_rate,Float,description,Rate at which Price list currency is converted to customer's base currency
Sales Invoice,ignore_pricing_rule,Check,label,Ignore Pricing Rule
Sales Invoice,items_section,Section Break,label,Items
Sales Invoice,items_section,Section Break,option,fa fa-shopping-cart
Sales Invoice,scan_barcode,Data,label,Scan Barcode
Sales Invoice,update_stock,Check,label,Update Stock
Sales Invoice,last_scanned_warehouse,Data,label,Last Scanned Warehouse
Sales Invoice,set_warehouse,Link,label,Source Warehouse
Sales Invoice,set_target_warehouse,Link,label,Set Target Warehouse
Sales Invoice,items,Table,label,Items
Sales Invoice,total_qty,Float,label,Total Quantity
Sales Invoice,total_net_weight,Float,label,Total Net Weight
Sales Invoice,base_total,Currency,label,Total (Company Currency)
Sales Invoice,base_net_total,Currency,label,Net Total (Company Currency)
Sales Invoice,total,Currency,label,Total
Sales Invoice,net_total,Currency,label,Net Total
Sales Invoice,taxes_section,Section Break,label,Taxes and Charges
Sales Invoice,taxes_section,Section Break,option,fa fa-money
Sales Invoice,tax_category,Link,label,Tax Category
Sales Invoice,taxes_and_charges,Link,label,Sales Taxes and Charges Template
Sales Invoice,shipping_rule,Link,label,Shipping Rule
Sales Invoice,incoterm,Link,label,Incoterm
Sales Invoice,named_place,Data,label,Named Place
Sales Invoice,taxes,Table,label,Sales Taxes and Charges
Sales Invoice,base_total_taxes_and_charges,Currency,label,Total Taxes and Charges (Company Currency)
Sales Invoice,total_taxes_and_charges,Currency,label,Total Taxes and Charges
Sales Invoice,totals,Section Break,label,Totals
Sales Invoice,totals,Section Break,option,fa fa-money
Sales Invoice,base_grand_total,Currency,label,Grand Total (Company Currency)
Sales Invoice,base_rounding_adjustment,Currency,label,Rounding Adjustment (Company Currency)
Sales Invoice,base_rounded_total,Currency,label,Rounded Total (Company Currency)
Sales Invoice,base_in_words,Small Text,label,In Words (Company Currency)
Sales Invoice,base_in_words,Small Text,description,In Words will be visible once you save the Sales Invoice.
Sales Invoice,grand_total,Currency,label,Grand Total
Sales Invoice,rounding_adjustment,Currency,label,Rounding Adjustment
Sales Invoice,use_company_roundoff_cost_center,Check,label,Use Company default Cost Center for Round off
Sales Invoice,rounded_total,Currency,label,Rounded Total
Sales Invoice,in_words,Small Text,label,In Words
Sales Invoice,total_advance,Currency,label,Total Advance
Sales Invoice,outstanding_amount,Currency,label,Outstanding Amount
Sales Invoice,disable_rounded_total,Check,label,Disable Rounded Total
Sales Invoice,section_break_49,Section Break,label,Additional Discount
Sales Invoice,apply_discount_on,Select,label,Apply Additional Discount On
Sales Invoice,apply_discount_on,Select,option,Grand Total
Sales Invoice,apply_discount_on,Select,option,Net Total
Sales Invoice,base_discount_amount,Currency,label,Additional Discount Amount (Company Currency)
Sales Invoice,is_cash_or_non_trade_discount,Check,label,Is Cash or Non Trade Discount
