doctype,fieldname,fieldtype,part,source
Print Heading,print_heading,Data,label,Print Heading
Print Heading,description,Small Text,label,Description
Print Format,print_format_for,Select,label,Print Format For
Print Format,print_format_for,Select,option,DocType
Print Format,print_format_for,Select,option,Report
Print Format,doc_type,Link,label,DocType
Print Format,report,Link,label,Report
Print Format,module,Link,label,Module
Print Format,default_print_language,Link,label,Default Print Language
Print Format,standard,Select,label,Standard
Print Format,standard,Select,option,No
Print Format,standard,Select,option,Yes
Print Format,custom_format,Check,label,Custom Format
Print Format,disabled,Check,label,Disabled
Print Format,pdf_generator,Select,label,PDF Generator
Print Format,print_format_type,Select,label,Print Format Type
Print Format,print_format_type,Select,option,Jinja
Print Format,print_format_type,Select,option,JS
Print Format,raw_printing,Check,label,Raw Printing
Print Format,html,Code,label,HTML
Print Format,raw_commands,Code,label,Raw Commands
Print Format,raw_commands,Code,description,Any string-based printer languages can be used. Writing raw commands requires knowledge of the printer's native language provided by the printer manufacturer. Please refer to the developer manual provided by the printer manufacturer on how to write their native commands. These commands are rendered on the server side using the Jinja Templating Language.
Print Format,section_break_9,Section Break,label,Style Settings
Print Format,margin_top,Float,label,Margin Top
Print Format,margin_bottom,Float,label,Margin Bottom
Print Format,margin_left,Float,label,Margin Left
Print Format,margin_right,Float,label,Margin Right
Print Format,align_labels_right,Check,label,Align Labels to the Right
Print Format,show_section_headings,Check,label,Show Section Headings
Print Format,line_breaks,Check,label,Show Line Breaks after Sections
Print Format,absolute_value,Check,label,Show Absolute Values
Print Format,absolute_value,Check,description,"If checked, negative numeric values of Currency, Quantity or Count would be shown as positive"
Print Format,font_size,Int,label,Font Size
Print Format,font,Data,label,Google Font
Print Format,page_number,Select,label,Page Number
Print Format,page_number,Select,option,Hide
Print Format,page_number,Select,option,Top Left
Print Format,page_number,Select,option,Top Center
Print Format,page_number,Select,option,Top Right
Print Format,page_number,Select,option,Bottom Left
Print Format,page_number,Select,option,Bottom Center
Print Format,page_number,Select,option,Bottom Right
Print Format,css,Code,label,Custom CSS
Print Format,custom_html_help,HTML,label,Custom HTML Help
Print Format,custom_html_help,HTML,option,<h3>Custom CSS Help</h3>
Print Format,custom_html_help,HTML,option,<p>Notes:</p>
Print Format,custom_html_help,HTML,option,<ol>
Print Format,custom_html_help,HTML,option,<li>All field groups (label + value) are set attributes <code>data-fieldtype</code> and <code>data-fieldname</code></li>
Print Format,custom_html_help,HTML,option,<li>All values are given class <code>value</code></li>
Print Format,custom_html_help,HTML,option,<li>All Section Breaks are given class <code>section-break</code></li>
Print Format,custom_html_help,HTML,option,<li>All Column Breaks are given class <code>column-break</code></li>
Print Format,custom_html_help,HTML,option,</ol>
Print Format,custom_html_help,HTML,option,<h4>Examples</h4>
Print Format,custom_html_help,HTML,option,<p>1. Left align integers</p>
Print Format,custom_html_help,HTML,option,"<pre><code>[data-fieldtype=""Int""] .value { text-align: left; }</code></pre>"
Print Format,custom_html_help,HTML,option,<p>1. Add border to sections except the last section</p>
Print Format,custom_html_help,HTML,option,<pre><code>.section-break { padding: 30px 0px; border-bottom: 1px solid #eee; }
Print Format,custom_html_help,HTML,option,.section-break:last-child { padding-bottom: 0px; border-bottom: 0px;  }</code></pre>
Print Format,print_format_help,HTML,label,Print Format Help
Print Format,print_format_help,HTML,option,<h3>Print Format Help</h3>
Print Format,print_format_help,HTML,option,<hr>
Print Format,print_format_help,HTML,option,<h4>Introduction</h4>
Print Format,print_format_help,HTML,option,<p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p>
Print Format,print_format_help,HTML,option,"<p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p>"
Print Format,print_format_help,HTML,option,<hr>
Print Format,print_format_help,HTML,option,<h4>References</h4>
Print Format,print_format_help,HTML,option,<ol>
Print Format,print_format_help,HTML,option,"<li><a href=""http://jinja.pocoo.org/docs/templates/"" target=""_blank"">Jinja Templating Language</a></li>"
Print Format,print_format_help,HTML,option,"<li><a href=""http://getbootstrap.com"" target=""_blank"">Bootstrap CSS Framework</a></li>"
Print Format,print_format_help,HTML,option,</ol>
Print Format,print_format_help,HTML,option,<hr>
Print Format,print_format_help,HTML,option,<h4>Example</h4>
Print Format,print_format_help,HTML,option,"<pre><code>&lt;h3&gt;{{ doc.select_print_heading or ""Invoice"" }}&lt;/h3&gt;"
Print Format,print_format_help,HTML,option,"&lt;div class=""row""&gt;"
Print Format,print_format_help,HTML,option,"&lt;div class=""col-md-3 text-right""&gt;Customer Name&lt;/div&gt;"
Print Format,print_format_help,HTML,option,"&lt;div class=""col-md-9""&gt;{{ doc.customer_name }}&lt;/div&gt;"
Print Format,print_format_help,HTML,option,&lt;/div&gt;
Print Format,print_format_help,HTML,option,"&lt;div class=""row""&gt;"
Print Format,print_format_help,HTML,option,"&lt;div class=""col-md-3 text-right""&gt;Date&lt;/div&gt;"
Print Format,print_format_help,HTML,option,"&lt;div class=""col-md-9""&gt;{{ doc.get_formatted(""invoice_date"") }}&lt;/div&gt;"
Print Format,print_format_help,HTML,option,&lt;/div&gt;
Print Format,print_format_help,HTML,option,"&lt;table class=""table table-bordered""&gt;"
Print Format,print_format_help,HTML,option,&lt;tbody&gt;
Print Format,print_format_help,HTML,option,&lt;tr&gt;
Print Format,print_format_help,HTML,option,&lt;th&gt;Sr&lt;/th&gt;
Print Format,print_format_help,HTML,option,&lt;th&gt;Item Name&lt;/th&gt;
Print Format,print_format_help,HTML,option,&lt;th&gt;Description&lt;/th&gt;
Print Format,print_format_help,HTML,option,"&lt;th class=""text-right""&gt;Qty&lt;/th&gt;"
Print Format,print_format_help,HTML,option,"&lt;th class=""text-right""&gt;Rate&lt;/th&gt;"
Print Format,print_format_help,HTML,option,"&lt;th class=""text-right""&gt;Amount&lt;/th&gt;"
Print Format,print_format_help,HTML,option,&lt;/tr&gt;
Print Format,print_format_help,HTML,option,{%- for row in doc.items -%}
Print Format,print_format_help,HTML,option,&lt;tr&gt;
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 3%;""&gt;{{ row.idx }}&lt;/td&gt;"
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 20%;""&gt;"
Print Format,print_format_help,HTML,option,{{ row.item_name }}
Print Format,print_format_help,HTML,option,{% if row.item_code != row.item_name -%}
Print Format,print_format_help,HTML,option,&lt;br&gt;Item Code: {{ row.item_code}}
Print Format,print_format_help,HTML,option,{%- endif %}
Print Format,print_format_help,HTML,option,&lt;/td&gt;
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 37%;""&gt;"
Print Format,print_format_help,HTML,option,"&lt;div style=""border: 0px;""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;"
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 10%; text-align: right;""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;"
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 15%; text-align: right;""&gt;{{"
Print Format,print_format_help,HTML,option,"row.get_formatted(""rate"", doc) }}&lt;/td&gt;"
Print Format,print_format_help,HTML,option,"&lt;td style=""width: 15%; text-align: right;""&gt;{{"
Print Format,print_format_help,HTML,option,"row.get_formatted(""amount"", doc) }}&lt;/td&gt;"
Print Format,print_format_help,HTML,option,&lt;/tr&gt;
Print Format,print_format_help,HTML,option,{%- endfor -%}
Print Format,print_format_help,HTML,option,&lt;/tbody&gt;
Print Format,print_format_help,HTML,option,&lt;/table&gt;</code></pre>
Print Format,print_format_help,HTML,option,<hr>
Print Format,print_format_help,HTML,option,<h4>Common Functions</h4>
Print Format,print_format_help,HTML,option,"<table class=""table table-bordered"">"
Print Format,print_format_help,HTML,option,<tbody>
Print Format,print_format_help,HTML,option,<tr>
Print Format,print_format_help,HTML,option,"<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"", [parent_doc])</code></td>"
Print Format,print_format_help,HTML,option,"<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>"
Print Format,print_format_help,HTML,option,</tr>
Print Format,print_format_help,HTML,option,<tr>
Print Format,print_format_help,HTML,option,"<td style=""width: 30%;""><code>frappe.db.get_value(""[doctype]"", ""[name]"", ""fieldname"")</code></td>"
Print Format,print_format_help,HTML,option,<td>Get value from another document.</td>
Print Format,print_format_help,HTML,option,</tr>
Print Format,print_format_help,HTML,option,</tbody>
Print Format,print_format_help,HTML,option,</table>
Print Format,format_data,Code,label,Format Data
Print Format,print_format_builder,Check,label,Print Format Builder
Print Format,print_format_builder_beta,Check,label,Print Format Builder Beta
Serial and Batch Bundle,item_details_tab,Tab Break,label,Serial and Batch
Serial and Batch Bundle,naming_series,Select,label,Naming Series
