workspace,location,link_type,link_value
Recruitment,links,Link,Recruitment Analytics
Selling,links,Link,Sales Analytics
Selling,links,Link,Sales Order Analysis
Selling,links,Link,sales-funnel
Selling,links,Link,Sales Order Trends
Selling,links,Link,Quotation Trends
Selling,links,Link,Customer Acquisition and Loyalty
Selling,links,Link,Inactive Customers
Selling,links,Link,Sales Person-wise Transaction Summary
Selling,links,Link,Item-wise Sales History
Selling,links,Link,Address And Contacts
Selling,links,Link,Available Stock for Packing Items
Selling,links,Link,Pending SO Items For Purchase Request
Selling,links,Link,Delivery Note Trends
Selling,links,Link,Sales Invoice Trends
Selling,links,Link,Customer Credit Balance
Selling,links,Link,Customers Without Any Sales Transactions
Selling,links,Link,Sales Partners Commission
Selling,links,Link,Territory Target Variance Based On Item Group
Selling,links,Link,Sales Person Target Variance Based On Item Group
Selling,links,Link,Sales Partner Target Variance based on Item Group
Stock,links,Link,Serial No Service Contract Expiry
Stock,links,Link,Serial No Status
Stock,links,Link,Serial No Warranty Expiry
Stock,links,Link,Requested Items To Be Transferred
Stock,links,Link,Batch Item Expiry Status
Stock,links,Link,Item Prices
Stock,links,Link,Itemwise Recommended Reorder Level
Stock,links,Link,Item Variant Details
Stock,links,Link,Subcontracted Raw Materials To Be Transferred
Stock,links,Link,Subcontracted Item To Be Received
Stock,links,Link,Stock Ledger
Stock,links,Link,Stock Balance
Stock,links,Link,Stock Projected Qty
Stock,links,Link,stock-balance
Stock,links,Link,Stock Ageing
Stock,links,Link,Item Price Stock
Stock,links,Link,Warehouse Wise Stock Balance
Stock,links,Link,Stock Analytics
Stock,links,Link,Delivery Note Trends
Stock,links,Link,Purchase Receipt Trends
Stock,links,Link,Sales Order Analysis
Stock,links,Link,Purchase Order Analysis
Stock,links,Link,Item Shortage Report
Stock,links,Link,Batch-Wise Balance History
Projects,json:[0]/data:chart_name,,Open Projects
Projects,links,Link,Daily Timesheet Summary
Projects,links,Link,Project wise Stock Tracking
Projects,links,Link,Project Billing Summary
Projects,links,Link,Delayed Tasks Summary
Buying,links,Link,Purchase Analytics
Buying,links,Link,Purchase Order Analysis
Buying,links,Link,Supplier-Wise Sales Analytics
Buying,links,Link,Requested Items to Order and Receive
Buying,links,Link,Purchase Order Trends
Buying,links,Link,Procurement Tracker
Buying,links,Link,Items To Be Requested
Buying,links,Link,Item-wise Purchase History
Buying,links,Link,Purchase Receipt Trends
Buying,links,Link,Purchase Invoice Trends
Buying,links,Link,Subcontracted Raw Materials To Be Transferred
Buying,links,Link,Subcontracted Item To Be Received
Buying,links,Link,Supplier Quotation Comparison
Buying,links,Link,Material Requests for which Supplier Quotations are not created
Buying,links,Link,Address And Contacts
CRM,links,Link,Lead Details
CRM,links,Link,Sales Pipeline Analytics
CRM,links,Link,Opportunity Summary by Sales Stage
CRM,links,Link,sales-funnel
CRM,links,Link,Prospects Engaged But Not Converted
CRM,links,Link,First Response Time for Opportunity
CRM,links,Link,Inactive Customers
CRM,links,Link,Campaign Efficiency
CRM,links,Link,Lead Owner Efficiency
Assets,links,Link,Asset Depreciation Ledger
Assets,links,Link,Asset Depreciations and Balances
Accounting,links,Link,Share Ledger
Accounting,links,Link,Budget Variance Report
Accounting,links,Link,Bank Reconciliation Statement
Expense Claims,links,Link,Employee Advance Summary
Expense Claims,links,Link,Unpaid Expense Claim
Expense Claims,links,Link,Vehicle Expenses
Expense Claims,links,Link,Accounts Receivable
Expense Claims,links,Link,Accounts Payable
Expense Claims,links,Link,General Ledger
Expense Claims,links,Link,Vehicle Expenses
HR,links,Link,team-updates
HR,links,Link,Monthly Attendance Sheet
HR,links,Link,Recruitment Analytics
HR,links,Link,Employee Analytics
HR,links,Link,Employee Leave Balance
HR,links,Link,Employee Leave Balance Summary
HR,links,Link,Employee Advance Summary
HR,links,Link,Employee Exits
HR,links,Link,Employee Information
HR,links,Link,Employee Birthday
HR,links,Link,Employees working on a holiday
HR,links,Link,Daily Work Summary Replies
Shift & Attendance,links,Link,Monthly Attendance Sheet
Shift & Attendance,links,Link,Shift Attendance
Shift & Attendance,links,Link,Employee Hours Utilization Based On Timesheet
Shift & Attendance,links,Link,Project Profitability
Shift & Attendance,links,Link,Employees working on a holiday
Tax & Benefits,links,Link,Income Tax Computation
Tax & Benefits,links,Link,Income Tax Deductions
Employee Lifecycle,links,Link,Daily Work Summary Replies
Employee Lifecycle,links,Link,Employee Exits
Employee Lifecycle,links,Link,Employee Birthday
Employee Lifecycle,links,Link,Employee Information
Employee Lifecycle,links,Link,Employee Analytics
Performance,links,Link,Appraisal Overview
Manufacturing,links,Link,bom-comparison-tool
Manufacturing,links,Link,Production Planning Report
Manufacturing,links,Link,Work Order Summary
Manufacturing,links,Link,Quality Inspection Summary
Manufacturing,links,Link,Downtime Analysis
Manufacturing,links,Link,Job Card Summary
Manufacturing,links,Link,BOM Search
Manufacturing,links,Link,BOM Stock Report
Manufacturing,links,Link,Production Analytics
Manufacturing,links,Link,BOM Operations Time
Manufacturing,links,Link,Work Order Consumed Materials
Salary Payout,links,Link,Salary Register
Salary Payout,links,Link,Bank Remittance
Salary Payout,links,Link,Salary Payments Based On Payment Mode
Salary Payout,links,Link,Salary Payments via ECS
Salary Payout,links,Link,Income Tax Computation
Salary Payout,links,Link,Provident Fund Deductions
Salary Payout,links,Link,Professional Tax Deductions
Salary Payout,links,Link,Income Tax Deductions
Salary Payout,links,Link,General Ledger
Salary Payout,links,Link,Accounts Payable
Salary Payout,links,Link,Accounts Receivable
درخواست‌های هزینه,links,Link,Employee Advance Summary
درخواست‌های هزینه,links,Link,Unpaid Expense Claim
درخواست‌های هزینه,links,Link,Vehicle Expenses
درخواست‌های هزینه,links,Link,Accounts Receivable
درخواست‌های هزینه,links,Link,Accounts Payable
درخواست‌های هزینه,links,Link,General Ledger
درخواست‌های هزینه,links,Link,Vehicle Expenses
Financial Reports,links,Link,Gross Profit
Financial Reports,links,Link,Profitability Analysis
Financial Reports,links,Link,Sales Invoice Trends
Financial Reports,links,Link,Purchase Invoice Trends
Financial Reports,links,Link,Trial Balance
Financial Reports,links,Link,Profit and Loss Statement
Financial Reports,links,Link,Balance Sheet
Financial Reports,links,Link,Cash Flow
Financial Reports,links,Link,Consolidated Financial Statement
Financial Reports,links,Link,General Ledger
Financial Reports,links,Link,Customer Ledger Summary
Financial Reports,links,Link,Supplier Ledger Summary
Financial Reports,links,Link,Trial Balance for Party
Financial Reports,links,Link,Payment Period Based On Invoice Date
Financial Reports,links,Link,Sales Partners Commission
Financial Reports,links,Link,Customer Credit Balance
Financial Reports,links,Link,Sales Payment Summary
Financial Reports,links,Link,Address And Contacts
Financial Reports,links,Link,UAE VAT 201
Receivables,links,Link,Accounts Receivable
Receivables,links,Link,Accounts Receivable Summary
Receivables,links,Link,Sales Register
Receivables,links,Link,Item-wise Sales Register
Receivables,links,Link,Sales Order Analysis
